Frequency (Hz)	Level (dB)
473.632812	-79.988686
474.609375	-80.538879
475.585938	-80.977676
476.562500	-79.904373
477.539062	-79.878708
478.515625	-79.600555
479.492188	-81.125160
480.468750	-79.736572
481.445312	-79.509293
482.421875	-80.609337
483.398438	-79.341362
484.375000	-79.879547
485.351562	-80.006699
486.328125	-80.345940
487.304688	-80.384941
488.281250	-81.401100
489.257812	-78.865494
490.234375	-79.009331
491.210938	-79.908234
492.187500	-81.766922
493.164062	-78.795303
494.140625	-80.015755
495.117188	-80.256218
496.093750	-79.879692
497.070312	-81.190544
498.046875	-80.636192
499.023438	-80.395996
500.000000	-81.380959
500.976562	-79.635086
501.953125	-79.171295
502.929688	-80.955574
503.906250	-81.002716
504.882812	-80.682198
505.859375	-80.372444
506.835938	-79.879883
507.812500	-79.314369
508.789062	-81.255081
509.765625	-81.194710
510.742188	-79.691200
511.718750	-80.261932
512.695312	-79.952003
513.671875	-80.596207
514.648438	-80.471893
515.625000	-80.027031
516.601562	-80.466278
517.578125	-81.186790
518.554688	-79.595207
519.531250	-80.904053
520.507812	-80.979454
521.484375	-80.352318
522.460938	-80.236221
523.437500	-80.175430
524.414062	-81.500702
525.390625	-81.330276
526.367188	-80.804543
527.343750	-81.597366
528.320312	-81.121841
529.296875	-80.321831
530.273438	-81.112251
531.250000	-79.644913
532.226562	-79.727722
533.203125	-79.355667
534.179688	-80.544891
535.156250	-80.541656
536.132812	-79.734413
537.109375	-80.580582
538.085938	-80.447876
539.062500	-79.766617
540.039062	-80.600540
541.015625	-80.331467
541.992188	-80.451950
542.968750	-79.565361
543.945312	-80.271576
544.921875	-80.336342
545.898438	-80.254105
546.875000	-80.459366
547.851562	-79.453728
548.828125	-80.116058
549.804688	-80.608681
550.781250	-79.726265
551.757812	-80.493469
552.734375	-79.832657
553.710938	-79.565704
554.687500	-79.159653
555.664062	-79.672455
556.640625	-79.103531
557.617188	-79.573189
558.593750	-79.533577
559.570312	-79.476051
560.546875	-80.001434
561.523438	-79.925301
562.500000	-80.288521
563.476562	-78.673271
564.453125	-79.184349
