Frequency (Hz)	Level (dB)
440.429688	-74.682716
441.406250	-74.166061
442.382812	-74.331596
443.359375	-73.963623
444.335938	-74.063446
445.312500	-74.675308
446.289062	-74.409683
447.265625	-73.261749
448.242188	-74.214417
449.218750	-73.213242
450.195312	-74.292465
451.171875	-73.559494
452.148438	-73.914948
453.125000	-74.430595
454.101562	-73.350868
455.078125	-73.421730
456.054688	-73.043495
457.031250	-73.370285
458.007812	-73.135773
458.984375	-73.019958
459.960938	-72.630157
460.937500	-71.483772
461.914062	-72.640717
462.890625	-72.197899
463.867188	-72.591377
464.843750	-72.416016
465.820312	-71.920776
466.796875	-71.139076
467.773438	-71.863655
468.750000	-70.940857
469.726562	-70.148994
470.703125	-70.458405
471.679688	-71.328362
472.656250	-70.737450
473.632812	-71.099083
474.609375	-71.388016
475.585938	-71.491714
476.562500	-69.902039
477.539062	-70.239426
478.515625	-69.952896
479.492188	-70.162140
480.468750	-69.284637
481.445312	-68.377098
482.421875	-69.438072
483.398438	-68.268539
484.375000	-68.200493
485.351562	-67.945129
486.328125	-67.770683
487.304688	-67.517807
488.281250	-68.270897
489.257812	-65.552299
490.234375	-65.349907
491.210938	-66.164513
492.187500	-67.300262
493.164062	-63.809597
494.140625	-64.574699
495.117188	-64.767952
496.093750	-63.489902
497.070312	-64.967567
498.046875	-63.994286
499.023438	-63.310223
500.000000	-63.591042
500.976562	-61.248981
501.953125	-60.832413
502.929688	-61.801418
503.906250	-61.556671
504.882812	-60.860199
505.859375	-59.868713
506.835938	-59.239674
507.812500	-58.962509
508.789062	-60.497692
509.765625	-60.411098
510.742188	-58.785721
511.718750	-59.781887
512.695312	-59.504021
513.671875	-60.679100
514.648438	-60.761513
515.625000	-60.677982
516.601562	-61.288071
517.578125	-62.582012
518.554688	-61.316319
519.531250	-63.218529
520.507812	-63.466667
521.484375	-63.637302
522.460938	-63.851601
523.437500	-64.351967
524.414062	-65.670670
525.390625	-65.963150
526.367188	-65.894104
527.343750	-66.703300
528.320312	-66.709038
529.296875	-66.362823
530.273438	-67.502029
531.250000	-66.501190
532.226562	-66.778549
533.203125	-66.888573
534.179688	-68.282181
535.156250	-68.063797
536.132812	-67.988983
537.109375	-69.318436
538.085938	-69.612473
539.062500	-68.923149
540.039062	-69.613991
541.015625	-69.543144
541.992188	-69.974716
542.968750	-69.233330
543.945312	-70.525307
544.921875	-70.616806
545.898438	-70.896301
546.875000	-70.908340
547.851562	-70.541229
548.828125	-71.130386
549.804688	-71.433502
550.781250	-71.028351
551.757812	-72.089203
552.734375	-71.217728
553.710938	-71.085121
554.687500	-71.328758
555.664062	-71.913559
556.640625	-71.552391
557.617188	-71.868187
558.593750	-71.810280
559.570312	-71.788834
560.546875	-72.443161
561.523438	-72.799927
562.500000	-73.158165
563.476562	-71.564507
564.453125	-72.195625
565.429688	-73.809662
566.406250	-74.231613
567.382812	-73.023605
568.359375	-73.175850
569.335938	-72.832664
570.312500	-72.234138
571.289062	-73.766022
572.265625	-73.437248
573.242188	-73.617172
574.218750	-75.080399
575.195312	-73.597923
576.171875	-73.337364
577.148438	-73.171585
578.125000	-73.808266
579.101562	-74.306038
580.078125	-74.225815
581.054688	-73.864769
582.031250	-73.165901
583.007812	-73.555923
583.984375	-74.822441
584.960938	-74.880020
585.937500	-74.240021
586.914062	-73.092743
587.890625	-73.684639
588.867188	-73.558075
589.843750	-73.469772
590.820312	-73.035912
591.796875	-74.387535
592.773438	-73.251022
593.750000	-73.462463
594.726562	-74.177979
595.703125	-74.624763
596.679688	-74.074234
597.656250	-73.631813
598.632812	-74.553688
599.609375	-72.926689
600.585938	-73.872597
601.562500	-73.514687
602.539062	-73.874222
603.515625	-74.059357
604.492188	-74.247330
605.468750	-73.803139
606.445312	-73.928978
607.421875	-72.574997
608.398438	-74.716606
609.375000	-73.844902
610.351562	-72.252663
611.328125	-73.955635
612.304688	-73.257462
613.281250	-74.339851
614.257812	-73.419518
615.234375	-73.064796
616.210938	-72.995506
617.187500	-72.923180
618.164062	-72.599648
619.140625	-73.508636
620.117188	-72.504150
621.093750	-72.362083
622.070312	-71.829887
623.046875	-72.523445
624.023438	-72.292290
625.000000	-71.197380
625.976562	-72.068329
626.953125	-72.224586
627.929688	-71.686737
628.906250	-72.896210
629.882812	-72.197136
630.859375	-71.829178
631.835938	-72.307137
632.812500	-70.958832
633.789062	-71.091812
634.765625	-72.050774
635.742188	-70.250580
636.718750	-70.352562
637.695312	-70.862892
638.671875	-69.927788
639.648438	-70.173981
640.625000	-69.998093
641.601562	-70.463554
642.578125	-68.881393
643.554688	-68.836151
644.531250	-68.783463
645.507812	-68.243706
646.484375	-69.670029
647.460938	-69.418953
648.437500	-67.777756
649.414062	-68.082199
650.390625	-68.415260
651.367188	-66.925041
652.343750	-66.356171
653.320312	-67.036636
654.296875	-66.644585
655.273438	-66.782036
656.250000	-66.896225
657.226562	-66.727852
658.203125	-65.861633
659.179688	-66.092453
660.156250	-65.476761
661.132812	-65.314728
662.109375	-64.554222
663.085938	-63.027191
664.062500	-63.205624
665.039062	-62.493080
666.015625	-62.718189
666.992188	-63.231014
667.968750	-62.730293
668.945312	-61.618038
669.921875	-61.596737
670.898438	-60.443573
671.875000	-59.561401
672.851562	-58.526806
673.828125	-59.491810
674.804688	-59.180897
675.781250	-59.666607
676.757812	-57.569595
677.734375	-58.345333
678.710938	-58.322330
679.687500	-58.781406
680.664062	-56.917992
681.640625	-57.031082
682.617188	-57.532612
683.593750	-57.687450
684.570312	-58.776604
685.546875	-58.920872
686.523438	-60.106216
687.500000	-60.918915
688.476562	-61.175415
689.453125	-60.893272
690.429688	-62.922401
691.406250	-63.034451
692.382812	-62.861828
693.359375	-63.271595
