Frequency (Hz)	Level (dB)
901.367188	-74.124397
902.343750	-74.689552
903.320312	-75.507561
904.296875	-75.784065
905.273438	-74.572388
906.250000	-74.460609
907.226562	-74.876846
908.203125	-75.952354
909.179688	-76.064835
910.156250	-76.013550
911.132812	-75.514992
912.109375	-74.131058
913.085938	-76.813583
914.062500	-76.242287
915.039062	-76.358887
916.015625	-77.742485
916.992188	-75.585968
917.968750	-75.481834
918.945312	-76.530647
919.921875	-76.491524
920.898438	-75.419350
921.875000	-76.438919
922.851562	-77.799301
923.828125	-75.564476
924.804688	-76.641853
925.781250	-76.662025
926.757812	-75.996750
927.734375	-77.277962
928.710938	-77.669044
929.687500	-76.960220
930.664062	-76.600876
931.640625	-76.751900
932.617188	-76.589645
933.593750	-77.548210
934.570312	-77.487823
935.546875	-76.319839
936.523438	-76.913536
937.500000	-77.405930
938.476562	-77.236771
939.453125	-77.250534
940.429688	-77.414787
941.406250	-77.128632
942.382812	-77.073814
943.359375	-78.662483
944.335938	-79.159889
945.312500	-77.200081
946.289062	-77.978256
947.265625	-77.732269
948.242188	-78.344490
949.218750	-77.690643
950.195312	-77.345345
951.171875	-78.609695
952.148438	-78.324554
953.125000	-77.391441
954.101562	-78.890617
955.078125	-77.902092
956.054688	-78.169395
957.031250	-77.504005
958.007812	-78.925461
958.984375	-78.566391
959.960938	-80.140404
960.937500	-79.711769
961.914062	-79.114838
962.890625	-78.846550
963.867188	-78.205101
964.843750	-78.115822
965.820312	-79.483612
966.796875	-79.607201
967.773438	-80.468254
968.750000	-79.770493
969.726562	-79.225731
970.703125	-78.406944
971.679688	-79.245224
972.656250	-78.917061
973.632812	-78.632996
974.609375	-78.466408
975.585938	-79.045456
976.562500	-79.353233
977.539062	-78.968674
978.515625	-79.630173
979.492188	-79.185249
980.468750	-78.923065
981.445312	-79.606941
982.421875	-79.586830
983.398438	-78.847595
984.375000	-80.742310
985.351562	-79.916313
986.328125	-79.386902
987.304688	-78.655464
988.281250	-79.845551
989.257812	-81.826424
990.234375	-80.704010
991.210938	-80.390991
992.187500	-79.230591
993.164062	-80.290375
994.140625	-80.578606
995.117188	-80.056664
996.093750	-80.334343
997.070312	-81.162071
998.046875	-80.746696
999.023438	-80.315155
1000.000000	-80.431305
1000.976562	-78.565041
1001.953125	-79.804749
1002.929688	-78.580490
1003.906250	-80.536491
1004.882812	-80.474686
1005.859375	-79.022736
1006.835938	-80.097061
1007.812500	-79.802437
1008.789062	-81.189102
1009.765625	-80.123543
1010.742188	-80.982994
1011.718750	-80.655785
1012.695312	-81.976776
1013.671875	-81.496475
1014.648438	-80.200615
1015.625000	-80.371292
1016.601562	-80.014221
1017.578125	-80.095695
1018.554688	-80.583450
1019.531250	-79.936325
1020.507812	-80.639954
1021.484375	-80.727417
1022.460938	-81.485527
1023.437500	-81.311134
1024.414062	-81.741020
1025.390625	-80.476868
1026.367188	-81.465927
1027.343750	-79.824806
1028.320312	-82.262993
1029.296875	-80.955162
1030.273438	-81.302666
1031.250000	-81.958847
1032.226562	-82.005424
1033.203125	-81.384071
1034.179688	-81.219254
1035.156250	-81.396500
1036.132812	-80.186501
1037.109375	-81.101624
1038.085938	-82.432129
1039.062500	-81.086166
1040.039062	-82.812691
1041.015625	-81.186592
1041.992188	-81.032852
1042.968750	-82.216721
1043.945312	-81.209351
1044.921875	-80.502769
1045.898438	-79.686546
1046.875000	-80.122581
1047.851562	-80.111649
1048.828125	-82.375450
1049.804688	-81.543800
1050.781250	-80.540596
1051.757812	-81.032967
1052.734375	-82.831894
1053.710938	-82.166885
1054.687500	-80.803596
1055.664062	-80.374222
1056.640625	-81.852104
1057.617188	-82.474976
1058.593750	-81.972672
1059.570312	-81.390205
1060.546875	-80.709412
1061.523438	-81.177307
1062.500000	-82.499435
1063.476562	-82.347740
1064.453125	-82.647316
1065.429688	-82.113327
1066.406250	-82.511139
1067.382812	-82.158134
1068.359375	-81.579468
1069.335938	-79.407303
1070.312500	-81.696190
1071.289062	-82.956902
1072.265625	-80.977402
1073.242188	-80.887238
1074.218750	-80.424728
1075.195312	-81.006462
1076.171875	-82.312729
1077.148438	-82.248436
1078.125000	-82.505219
1079.101562	-82.049240
1080.078125	-81.904305
1081.054688	-82.174126
1082.031250	-81.968246
1083.007812	-82.079041
1083.984375	-82.169846
1084.960938	-82.110985
1085.937500	-82.298615
1086.914062	-81.849350
1087.890625	-80.311409
1088.867188	-83.049118
1089.843750	-83.718201
1090.820312	-82.535973
1091.796875	-82.614136
1092.773438	-81.220825
1093.750000	-81.938744
1094.726562	-83.670250
1095.703125	-81.283325
1096.679688	-81.041656
1097.656250	-82.868835
1098.632812	-82.185974
1099.609375	-80.401337
1100.585938	-81.995125
1101.562500	-81.602776
1102.539062	-81.567924
1103.515625	-81.761597
1104.492188	-81.667305
1105.468750	-82.154503
1106.445312	-81.617310
1107.421875	-81.855286
1108.398438	-81.870407
1109.375000	-83.195442
1110.351562	-82.470985
1111.328125	-82.825897
1112.304688	-82.059631
1113.281250	-82.460777
1114.257812	-82.415520
1115.234375	-81.369820
1116.210938	-83.203552
1117.187500	-81.843391
1118.164062	-82.390091
1119.140625	-81.919533
1120.117188	-81.228004
1121.093750	-81.596565
1122.070312	-81.514786
1123.046875	-80.809883
1124.023438	-81.111000
1125.000000	-81.969208
1125.976562	-80.993706
1126.953125	-82.959908
1127.929688	-82.049591
1128.906250	-81.677757
1129.882812	-82.515770
1130.859375	-81.003746
1131.835938	-82.230263
1132.812500	-80.876457
1133.789062	-81.979980
1134.765625	-82.683044
1135.742188	-83.164986
1136.718750	-81.385414
1137.695312	-82.413445
1138.671875	-81.922043
1139.648438	-81.934174
1140.625000	-81.715614
1141.601562	-81.547783
1142.578125	-82.650131
1143.554688	-81.072151
1144.531250	-83.852394
1145.507812	-82.349670
1146.484375	-82.877701
1147.460938	-83.030304
1148.437500	-81.201073
1149.414062	-82.790054
1150.390625	-81.935608
1151.367188	-82.115837
1152.343750	-81.640869
1153.320312	-80.847740
1154.296875	-83.521271
1155.273438	-82.580681
1156.250000	-82.738342
1157.226562	-83.143433
1158.203125	-82.897766
1159.179688	-82.054314
1160.156250	-82.003510
1161.132812	-83.740761
1162.109375	-83.332458
1163.085938	-82.912399
1164.062500	-82.968330
1165.039062	-83.223465
1166.015625	-82.010971
1166.992188	-82.465157
1167.968750	-83.246223
1168.945312	-82.138985
1169.921875	-82.423950
1170.898438	-82.645668
1171.875000	-82.503799
1172.851562	-83.213341
1173.828125	-83.114929
1174.804688	-82.755432
1175.781250	-82.678749
1176.757812	-82.606697
1177.734375	-83.657722
1178.710938	-84.484215
1179.687500	-83.227676
1180.664062	-83.761726
1181.640625	-82.798935
1182.617188	-83.060707
1183.593750	-82.788368
1184.570312	-83.745857
1185.546875	-83.134827
1186.523438	-82.046257
1187.500000	-83.457359
1188.476562	-83.342957
1189.453125	-82.304016
1190.429688	-82.912827
1191.406250	-82.791718
1192.382812	-83.090958
1193.359375	-82.717224
1194.335938	-82.100876
1195.312500	-82.868034
1196.289062	-83.393066
1197.265625	-83.669838
1198.242188	-83.584892
1199.218750	-84.261086
1200.195312	-83.663315
1201.171875	-82.819153
1202.148438	-82.454506
1203.125000	-82.965439
1204.101562	-83.699005
1205.078125	-82.822517
1206.054688	-83.604729
1207.031250	-83.487579
1208.007812	-82.263191
1208.984375	-82.796234
1209.960938	-82.998085
1210.937500	-83.811348
1211.914062	-84.361977
1212.890625	-82.650421
1213.867188	-83.522537
1214.843750	-84.725021
1215.820312	-83.510933
1216.796875	-83.651367
1217.773438	-82.211510
