Frequency (Hz)	Level (dB)
574.218750	-76.379883
575.195312	-75.343376
576.171875	-75.044510
577.148438	-74.455460
578.125000	-75.124420
579.101562	-75.722656
580.078125	-75.500565
581.054688	-74.749138
582.031250	-74.436127
583.007812	-74.648003
583.984375	-75.494972
584.960938	-75.862404
585.937500	-74.657578
586.914062	-73.937996
587.890625	-74.722321
588.867188	-74.170418
589.843750	-74.203392
590.820312	-73.694069
591.796875	-74.892464
592.773438	-73.882515
593.750000	-73.572563
594.726562	-74.083336
595.703125	-74.546463
596.679688	-73.805283
597.656250	-73.703575
598.632812	-74.320580
599.609375	-72.812157
600.585938	-73.794113
601.562500	-73.547363
602.539062	-73.291641
603.515625	-73.561478
604.492188	-73.727287
605.468750	-73.346420
606.445312	-73.361343
607.421875	-72.213341
608.398438	-74.416351
609.375000	-73.030586
610.351562	-71.701370
611.328125	-73.110184
612.304688	-72.365822
613.281250	-73.209908
614.257812	-72.264389
615.234375	-71.795631
616.210938	-71.962013
617.187500	-71.990623
618.164062	-71.455177
619.140625	-72.562317
620.117188	-71.587273
621.093750	-71.360771
622.070312	-70.922424
623.046875	-71.235367
624.023438	-71.060814
625.000000	-70.404572
625.976562	-70.835716
626.953125	-70.253906
627.929688	-70.255898
628.906250	-71.290703
629.882812	-70.422531
630.859375	-70.217476
631.835938	-70.157814
632.812500	-69.380592
633.789062	-69.023102
634.765625	-70.509888
635.742188	-68.488808
636.718750	-68.610504
637.695312	-68.970749
638.671875	-67.844818
639.648438	-68.210907
640.625000	-68.349365
641.601562	-68.586494
642.578125	-67.054886
643.554688	-66.757042
644.531250	-66.605598
645.507812	-65.683304
646.484375	-67.631088
647.460938	-67.218460
648.437500	-65.538551
649.414062	-65.722076
650.390625	-65.751869
651.367188	-64.563408
652.343750	-63.736542
653.320312	-64.405365
654.296875	-64.236336
655.273438	-64.089935
656.250000	-64.415215
657.226562	-64.397644
658.203125	-63.305470
659.179688	-63.628014
660.156250	-63.116283
661.132812	-63.086529
662.109375	-62.354355
663.085938	-60.963306
664.062500	-61.263279
665.039062	-60.598019
666.015625	-60.881725
666.992188	-61.877525
667.968750	-61.534271
668.945312	-60.719498
669.921875	-60.899292
670.898438	-60.218079
671.875000	-59.835728
672.851562	-59.323811
673.828125	-60.778683
674.804688	-60.868946
675.781250	-62.028782
676.757812	-60.202438
677.734375	-61.238575
678.710938	-61.651279
679.687500	-62.236229
680.664062	-60.555676
681.640625	-60.726917
682.617188	-61.186634
683.593750	-61.370274
684.570312	-62.299587
685.546875	-62.266464
686.523438	-63.304489
687.500000	-63.975548
688.476562	-63.916088
689.453125	-63.532467
690.429688	-65.534058
691.406250	-65.453316
692.382812	-64.955360
693.359375	-65.150948
694.335938	-65.828087
695.312500	-66.752930
696.289062	-68.014999
697.265625	-66.021324
698.242188	-66.414360
699.218750	-67.731430
700.195312	-67.138832
701.171875	-66.634552
702.148438	-67.590935
703.125000	-67.277794
704.101562	-66.760788
705.078125	-68.152710
706.054688	-67.881851
707.031250	-68.604378
708.007812	-68.996429
708.984375	-68.963531
709.960938	-69.757652
710.937500	-68.542320
711.914062	-68.553810
712.890625	-69.654816
713.867188	-68.406616
714.843750	-70.101021
715.820312	-69.058098
716.796875	-69.889992
717.773438	-70.052628
718.750000	-70.304291
719.726562	-70.976204
720.703125	-70.788582
721.679688	-70.104919
722.656250	-71.164398
723.632812	-70.815155
724.609375	-70.566284
725.585938	-70.216522
726.562500	-70.608093
727.539062	-72.089294
728.515625	-71.385986
729.492188	-72.687119
730.468750	-71.330429
731.445312	-71.378014
732.421875	-71.908134
733.398438	-72.480934
734.375000	-70.848152
735.351562	-72.750679
736.328125	-72.673615
737.304688	-72.666893
738.281250	-72.148613
739.257812	-71.828835
740.234375	-72.343124
741.210938	-73.323204
742.187500	-71.325203
743.164062	-71.359283
744.140625	-73.383743
745.117188	-72.317505
746.093750	-72.268761
747.070312	-72.552582
748.046875	-72.724716
749.023438	-73.724953
750.000000	-73.879883
750.976562	-73.053482
751.953125	-72.402382
752.929688	-74.017944
753.906250	-73.833923
754.882812	-73.263779
755.859375	-73.392265
756.835938	-74.240181
757.812500	-73.968124
758.789062	-73.621819
759.765625	-73.050743
760.742188	-73.322441
761.718750	-73.817680
762.695312	-73.785194
763.671875	-73.800835
764.648438	-72.886368
765.625000	-73.896332
766.601562	-74.081108
767.578125	-73.732910
768.554688	-72.846672
769.531250	-73.677956
770.507812	-73.348854
771.484375	-73.917458
772.460938	-74.883240
773.437500	-74.192680
774.414062	-73.756325
